fonction,localisation,experience,management,diplome,secteur,salaire_min_k,salaire_moyen_k,salaire_max_k,note,source
Node.js engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"56,82 K€","63,13 K€","78,91 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"59,01 K€","65,57 K€","81,96 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"65,59 K€","72,87 K€","91,09 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"69,97 K€","77,74 K€","97,18 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"80,93 K€","89,92 K€","112,40 K€",effectif,DataRecrutement
Node.js engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"113,81 K€","126,46 K€","158,08 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"38,61 K€","42,90 K€","53,63 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"40,37 K€","44,85 K€","56,07 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"42,13 K€","46,81 K€","58,51 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"43,88 K€","48,76 K€","60,95 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"45,64 K€","50,71 K€","63,39 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"47,40 K€","52,67 K€","65,83 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"52,68 K€","58,53 K€","73,16 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"56,19 K€","62,44 K€","78,04 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"64,98 K€","72,20 K€","90,25 K€",effectif,DataRecrutement
PHP engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"91,36 K€","101,51 K€","126,88 K€",effectif,DataRecrutement
Python engineer,Île-de-France,0 ans,Pas de management,Bac +5,DeepTech,"46,33 K€","51,48 K€","64,35 K€",effectif,DataRecrutement
Python engineer,Île-de-France,1 ans,Pas de management,Bac +5,DeepTech,"48,44 K€","53,83 K€","67,28 K€",effectif,DataRecrutement
Python engineer,Île-de-France,2 ans,Pas de management,Bac +5,DeepTech,"50,55 K€","56,17 K€","70,21 K€",effectif,DataRecrutement
Python engineer,Île-de-France,3 ans,Pas de management,Bac +5,DeepTech,"52,66 K€","58,51 K€","73,14 K€",effectif,DataRecrutement
Python engineer,Île-de-France,4 ans,Pas de management,Bac +5,DeepTech,"54,77 K€","60,86 K€","76,07 K€",effectif,DataRecrutement
Python engineer,Île-de-France,5 ans,Pas de management,Bac +5,DeepTech,"56,88 K€","63,20 K€","79,00 K€",effectif,DataRecrutement
Python engineer,Île-de-France,8 ans,Pas de management,Bac +5,DeepTech,"63,21 K€","70,23 K€","87,79 K€",effectif,DataRecrutement
Python engineer,Île-de-France,10 ans,Pas de management,Bac +5,DeepTech,"67,43 K€","74,92 K€","93,65 K€",effectif,DataRecrutement
Python engineer,Île-de-France,15 ans,Pas de management,Bac +5,DeepTech,"77,98 K€","86,64 K€","108,31 K€",effectif,DataRecrutement
Python engineer,Île-de-France,30 ans,Pas de management,Bac +5,DeepTech,"109,63 K€","121,81 K€","152,26 K€",effectif,DataRecrutement
